City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
150,Port Augusta,AU,-32.5,137.7667,56.84,54,36,8.41,scattered clouds,2022-06-13 00:50:48
151,Asfi,MA,32.2994,-9.2372,69.26,91,8,8.66,clear sky,2022-06-13 00:50:48
152,Hovd,MN,48.0056,91.6419,75.65,30,5,3.13,clear sky,2022-06-13 00:50:48
153,Banjar,ID,-8.19,114.9675,82.42,78,89,1.83,overcast clouds,2022-06-13 00:50:48
154,Hasaki,JP,35.7333,140.8333,72.28,56,100,11.16,overcast clouds,2022-06-13 00:50:49
155,Guiratinga,BR,-16.3494,-53.7583,61.3,61,55,3.87,broken clouds,2022-06-13 00:50:49
156,Derzhavinsk,KZ,51.1,66.3167,62.35,75,100,7.4,overcast clouds,2022-06-13 00:50:49
157,Singapore,SG,1.2897,103.8501,78.66,93,75,4.61,light intensity shower rain,2022-06-13 00:48:30
158,Kodiak,US,57.79,-152.4072,63.91,55,0,11.5,smoke,2022-06-13 00:50:50
159,Seymchan,RU,62.8833,152.4333,47.73,78,100,1.68,overcast clouds,2022-06-13 00:50:50
160,Westport,US,41.1415,-73.3579,70.29,90,80,1.01,broken clouds,2022-06-13 00:50:50
161,Vidim,RU,56.4088,103.1106,65.64,68,100,6.87,light rain,2022-06-13 00:50:51
162,Narsaq,GL,60.9167,-46.05,40.91,93,100,3.4,overcast clouds,2022-06-13 00:50:51
163,Shubarshi,KZ,48.5872,57.1869,55.36,76,0,9.28,clear sky,2022-06-13 00:50:51
164,Lorengau,PG,-2.0226,147.2712,84.9,66,5,10.71,clear sky,2022-06-13 00:50:52
165,Revelstoke,CA,50.9832,-118.2023,73.42,35,40,4.61,scattered clouds,2022-06-13 00:50:52
166,Puerto Escondido,MX,15.85,-97.0667,80.94,79,100,4.5,overcast clouds,2022-06-13 00:50:52
167,Contamana,PE,-7.3333,-75.0167,68.47,70,49,3.27,scattered clouds,2022-06-13 00:50:53
168,Kochubey,RU,44.3861,46.5825,69.48,63,100,8.5,overcast clouds,2022-06-13 00:50:53
169,Barh,IN,25.4833,85.7167,87.6,67,1,10.54,clear sky,2022-06-13 00:50:53
170,Oxelosund,SE,58.6706,17.1015,52.18,82,0,11.5,clear sky,2022-06-13 00:50:53
171,Marsala,IT,37.7966,12.4352,71.55,83,20,3.44,few clouds,2022-06-13 00:50:54
172,Sao Filipe,CV,14.8961,-24.4956,72.72,86,21,3.56,few clouds,2022-06-13 00:50:54
173,Srednekolymsk,RU,67.45,153.6833,70.05,31,0,5.75,clear sky,2022-06-13 00:50:54
174,Vangaindrano,MG,-23.35,47.6,65.14,70,65,1.36,broken clouds,2022-06-13 00:50:55
175,Nouadhibou,MR,20.931,-17.0347,67.98,88,5,20.71,clear sky,2022-06-13 00:48:05
176,Bahawalpur,PK,29.4,71.6833,90.93,48,0,11.65,clear sky,2022-06-13 00:50:55
177,Rawson,AR,-43.3002,-65.1023,56.91,28,100,10.63,overcast clouds,2022-06-13 00:50:55
178,Taltal,CL,-25.4,-70.4833,58.75,76,9,5.5,clear sky,2022-06-13 00:50:56
179,Rio Gallegos,AR,-51.6226,-69.2181,41.05,87,0,2.3,clear sky,2022-06-13 00:50:56
180,Dikson,RU,73.5069,80.5464,29.71,94,100,17.56,overcast clouds,2022-06-13 00:50:56
181,Arraial Do Cabo,BR,-22.9661,-42.0278,68.54,63,100,25.37,overcast clouds,2022-06-13 00:46:49
182,Okha,RU,53.5739,142.9478,63.75,57,10,9.31,clear sky,2022-06-13 00:50:57
183,Nadym,RU,65.5333,72.5167,45.5,76,99,25.23,overcast clouds,2022-06-13 00:50:57
184,Itarema,BR,-2.9248,-39.9167,76.64,83,22,7.81,few clouds,2022-06-13 00:50:57
185,Saint-Pierre,RE,-21.3393,55.4781,73.9,94,100,31.07,overcast clouds,2022-06-13 00:50:57
186,Khani,GE,41.9563,42.9566,56.77,74,0,5.3,clear sky,2022-06-13 00:50:58
187,San Jose,US,37.3394,-121.895,74.52,71,75,21.85,broken clouds,2022-06-13 00:49:51
188,Tessalit,ML,20.1986,1.0114,83.95,28,7,8.84,clear sky,2022-06-13 00:50:58
189,San Rafael Del Sur,NI,11.8485,-86.4384,81.57,86,100,9.69,overcast clouds,2022-06-13 00:50:58
190,Kaitangata,NZ,-46.2817,169.8464,45.7,90,100,22.06,overcast clouds,2022-06-13 00:50:59
191,San Patricio,US,28.017,-97.5169,90.18,66,4,17.49,clear sky,2022-06-13 00:50:59
192,Colac,AU,-38.3333,143.5833,48.83,79,100,1.36,overcast clouds,2022-06-13 00:47:41
193,Sambava,MG,-14.2667,50.1667,68.56,83,0,10.56,clear sky,2022-06-13 00:50:59
194,Port Elizabeth,ZA,-33.918,25.5701,70.32,36,0,8.99,clear sky,2022-06-13 00:48:32
195,Vanimo,PG,-2.6741,141.3028,84.04,67,11,7.83,few clouds,2022-06-13 00:51:00
196,Faya,SA,18.3851,42.4509,66.72,18,2,2.19,clear sky,2022-06-13 00:51:00
197,Flin Flon,CA,54.7682,-101.865,68.34,53,59,10.78,broken clouds,2022-06-13 00:51:00
198,Aranyosapati,HU,48.206,22.2592,63.88,73,0,6.98,clear sky,2022-06-13 00:51:01
199,Castro,BR,-24.7911,-50.0119,39.63,66,0,4.27,clear sky,2022-06-13 00:51:01
200,Mackay,AU,-21.15,149.2,67.68,45,0,8.86,clear sky,2022-06-13 00:51:01
201,Vila Velha,BR,-20.3297,-40.2925,71.55,89,100,9.22,overcast clouds,2022-06-13 00:51:01
202,Saskylakh,RU,71.9167,114.0833,66.76,34,3,8.75,clear sky,2022-06-13 00:51:02
203,Mount Gambier,AU,-37.8333,140.7667,55.62,64,68,1.66,broken clouds,2022-06-13 00:51:02
204,Mahebourg,MU,-20.4081,57.7,71.89,88,75,14.97,broken clouds,2022-06-13 00:51:02
205,Marawi,PH,7.9986,124.2928,79.39,68,100,1.3,overcast clouds,2022-06-13 00:51:03
206,Yaan,NG,7.3833,8.5667,73.58,91,100,3.71,overcast clouds,2022-06-13 00:51:03
207,Bethel,US,41.3712,-73.414,69.49,90,50,4.16,scattered clouds,2022-06-13 00:49:15
208,Egvekinot,RU,66.3167,-179.1667,44.94,40,100,1.92,overcast clouds,2022-06-13 00:51:03
209,Mwinilunga,ZM,-11.7358,24.4293,51.15,70,4,4.32,clear sky,2022-06-13 00:51:04
210,Talnakh,RU,69.4865,88.3972,63.21,37,63,2.86,broken clouds,2022-06-13 00:51:04
211,Sembe,CG,1.6481,14.5806,70.9,93,100,2.59,overcast clouds,2022-06-13 00:51:04
212,Mandan,US,46.8267,-100.8896,75.18,78,0,12.66,light rain,2022-06-13 00:51:04
213,Prainha,BR,-1.8,-53.48,72.97,96,78,0.58,light rain,2022-06-13 00:51:05
214,Kahului,US,20.8947,-156.47,84.22,71,20,28.77,few clouds,2022-06-13 00:50:50
215,Londoko,RU,49.0333,131.9833,71.82,49,100,6.64,overcast clouds,2022-06-13 00:51:05
216,Launceston,AU,-41.45,147.1667,46.35,70,5,2.3,clear sky,2022-06-13 00:49:27
217,Cherskiy,RU,68.75,161.3,68.29,31,12,2.93,few clouds,2022-06-13 00:51:05
218,Kijang,KR,35.2442,129.2139,69.53,72,100,17.2,overcast clouds,2022-06-13 00:51:06
219,Koungou,YT,-12.7336,45.2042,76.71,78,0,9.22,light rain,2022-06-13 00:51:06
220,Bilma,NE,18.6853,12.9164,89.82,12,1,8.52,clear sky,2022-06-13 00:51:06
221,Port Hawkesbury,CA,45.6169,-61.3485,64.62,79,0,3.0,clear sky,2022-06-13 00:51:07
222,Eyl,SO,7.9803,49.8164,81.01,63,100,24.27,overcast clouds,2022-06-13 00:51:07
223,Lluta,PE,-16.0147,-72.0142,47.71,29,0,0.47,clear sky,2022-06-13 00:51:07
224,Ridgecrest,US,35.6225,-117.6709,93.65,20,2,20.0,clear sky,2022-06-13 00:51:08
225,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,67,0,3.44,clear sky,2022-06-13 00:51:08
226,Sobolevo,RU,54.4299,31.8996,54.88,94,12,6.35,few clouds,2022-06-13 00:51:08
227,Arlit,NE,18.7369,7.3853,94.71,17,100,7.09,overcast clouds,2022-06-13 00:51:08
